Unique ID ,Parent,Name,Tier 1,Tier 2
584,582,Men's Casual Wear,Style & Fashion,Men's Fashion
585,582,Men's Formal Wear,Style & Fashion,Men's Fashion
586,582,Men's Outerwear,Style & Fashion,Men's Fashion
587,582,Men's Sportswear,Style & Fashion,Men's Fashion
588,582,Men's Underwear and Sleepwear,Style & Fashion,Men's Fashion
589,579,Men's Shoes and Footwear,Style & Fashion,Men's Fashion
590,552,Personal Care,Style & Fashion,Personal Care
591,590,Bath and Shower,Style & Fashion,Personal Care
592,590,Deodorant and Antiperspirant,Style & Fashion,Personal Care
593,590,Oral care,Style & Fashion,Personal Care
594,590,Shaving,Style & Fashion,Personal Care
595,552,Street Style,Style & Fashion,Street Style
596,,Technology & Computing,Technology & Computing,
597,596,Artificial Intelligence,Technology & Computing,Artificial Intelligence
598,596,Augmented Reality,Technology & Computing,Augmented Reality
599,596,Computing,Technology & Computing,Computing
600,599,Computer Networking,Technology & Computing,Computing
601,599,Computer Peripherals,Technology & Computing,Computing
602,599,Computer Software and Applications,Technology & Computing,Computing
603,602,3-D Graphics,Technology & Computing,Computing
604,602,Photo Editing Software,Technology & Computing,Computing
605,602,Shareware and Freeware,Technology & Computing,Computing
606,602,Video Software,Technology & Computing,Computing
607,602,Web Conferencing,Technology & Computing,Computing
608,602,Antivirus Software,Technology & Computing,Computing
609,602,Browsers,Technology & Computing,Computing
610,602,Computer Animation,Technology & Computing,Computing
611,602,Databases,Technology & Computing,Computing
612,602,Desktop Publishing,Technology & Computing,Computing
613,602,Digital Audio,Technology & Computing,Computing
614,602,Graphics Software,Technology & Computing,Computing
615,602,Operating Systems,Technology & Computing,Computing
616,599,Data Storage and Warehousing,Technology & Computing,Computing
617,599,Desktops,Technology & Computing,Computing
618,599,Information and Network Security,Technology & Computing,Computing
619,599,Internet,Technology & Computing,Computing
620,619,Cloud Computing,Technology & Computing,Computing
621,619,Web Development,Technology & Computing,Computing
622,619,Web Hosting,Technology & Computing,Computing
623,619,Email,Technology & Computing,Computing
624,619,Internet for Beginners,Technology & Computing,Computing
625,619,Internet of Things,Technology & Computing,Computing
626,619,IT and Internet Support,Technology & Computing,Computing
627,619,Search,Technology & Computing,Computing
628,619,Social Networking,Technology & Computing,Computing
629,619,Web Design and HTML,Technology & Computing,Computing
630,599,Laptops,Technology & Computing,Computing
631,599,Programming Languages,Technology & Computing,Computing
632,596,Consumer Electronics,Technology & Computing,Consumer Electronics
633,632,Cameras and Camcorders,Technology & Computing,Consumer Electronics
634,632,Home Entertainment Systems,Technology & Computing,Consumer Electronics
635,632,Smartphones,Technology & Computing,Consumer Electronics
636,632,Tablets and E-readers,Technology & Computing,Consumer Electronics
637,632,Wearable Technology,Technology & Computing,Consumer Electronics
638,596,Robotics,Technology & Computing,Robotics
639,596,Virtual Reality,Technology & Computing,Virtual Reality
640,,Television,Television,
641,640,Animation TV,Television,Animation TV
642,640,Soap Opera TV,Television,Soap Opera TV
643,640,Special Interest TV,Television,Special Interest TV
644,640,Sports TV,Television,Sports TV
645,640,Children's TV,Television,Children's TV
646,640,Comedy TV,Television,Comedy TV
647,640,Drama TV,Television,Drama TV
648,640,Factual TV,Television,Factual TV
649,640,Holiday TV,Television,Holiday TV
650,640,Music TV,Television,Music TV
651,640,Reality TV,Television,Reality TV
652,640,Science Fiction TV,Television,Science Fiction TV
653,,Travel,Travel,
654,653,Travel Accessories,Travel,Travel Accessories
655,653,Travel Locations,Travel,Travel Locations
656,655,Africa Travel,Travel,Travel Locations
657,655,Asia Travel,Travel,Travel Locations
658,655,Australia and Oceania Travel,Travel,Travel Locations
659,655,Europe Travel,Travel,Travel Locations
660,655,North America Travel,Travel,Travel Locations
661,655,Polar Travel,Travel,Travel Locations
662,655,South America Travel,Travel,Travel Locations
663,653,Travel Preparation and Advice,Travel,Travel Preparation and Advice
664,653,Travel Type,Travel,Travel Type
665,664,Adventure Travel,Travel,Travel Type
666,664,Family Travel,Travel,Travel Type
667,664,Honeymoons and Getaways,Travel,Travel Type
668,664,Hotels and Motels,Travel,Travel Type
669,664,Rail Travel,Travel,Travel Type
670,664,Road Trips,Travel,Travel Type
671,664,Spas,Travel,Travel Type
672,664,Air Travel,Travel,Travel Type
673,664,Beach Travel,Travel,Travel Type
674,664,Bed & Breakfasts,Travel,Travel Type
675,664,Budget Travel,Travel,Travel Type
676,664,Business Travel,Travel,Travel Type
677,664,Camping,Travel,Travel Type
678,664,Cruises,Travel,Travel Type
679,664,Day Trips,Travel,Travel Type
680,,Video Gaming,Video Gaming,
681,680,Console Games,Video Gaming,Console Games
682,680,eSports,Video Gaming,eSports
683,680,Mobile Games,Video Gaming,Mobile Games
684,680,PC Games,Video Gaming,PC Games
685,680,Video Game Genres,Video Gaming,Video Game Genres
686,685,Action Video Games,Video Gaming,Video Game Genres
687,685,Role-Playing Video Games,Video Gaming,Video Game Genres
688,685,Simulation Video Games,Video Gaming,Video Game Genres
689,685,Sports Video Games,Video Gaming,Video Game Genres
690,685,Strategy Video Games,Video Gaming,Video Game Genres
691,685,Action-Adventure Video Games,Video Gaming,Video Game Genres
692,685,Adventure Video Games,Video Gaming,Video Game Genres
693,685,Casual Games,Video Gaming,Video Game Genres
694,685,Educational Video Games,Video Gaming,Video Game Genres
695,685,Exercise and Fitness Video Games,Video Gaming,Video Game Genres
696,685,MMOs,Video Gaming,Video Game Genres
697,685,Music and Party Video Games,Video Gaming,Video Game Genres
698,685,Puzzle Video Games,Video Gaming,Video Game Genres
