Business Name,SIC2 Category,SIC4 Category,SIC8 Category,Contact Name,State Code,City,ZIP Code,Address,Phone,Web,Coordinates,Location Type,Market Variable,Annual Revenue,SIC,NAICS,Industry
Casa Latino Real Estate,Real Estate,Real Estate Agents and Managers,Real Estate Buyers Representatives,Robert Olson,CA,Long Beach,90814,645 Park Avenue,Not in Sample,,,Single Location,BOTH,$100.000 to $499.999,6531,531210,Real Estate and Rental and Leasing
Rexnord Industries LLC,Machinery & Equipment,"Mechanical Power Transmission Equipment, NEC","Couplings, Shaft: Rigid, Flexible, Universal Joint, Etc.",Charles Jones,CA,Santa Fe Springs,90670,14434 Best Avenue,Not in Sample,aerospace.rexnord.com,,Branch,B2B,Unknown,3568,333613,Manufacturing
Airport Chatter LLC,Consumer Services,"Miscellaneous Personal Services, NEC",Consumer Information Services,Mark Wagner,CA,Los Angeles,90035,1484 South Beverly Drive Apartment 311,Not in Sample,airportchatter.com,"34.052577,-118.395224",Single Location,B2C,$100.000 to $499.999,7299,812990,Other Services (except Public Administration)
payday services,Other Business Services,"Business Services, NEC",Business Services (Unclassified),Louise Easley,CA,Norwalk,90650,11165 firestone Blvd.,Not in Sample,internetpaydaysystem.com/wanna123,"33.920961320400,-118.09",Single Location,B2B,Unknown,,,
Tridas Productions LLC,Media,Motion Picture and Video Tape Distribution,Motion Picture and Tape Distributors,James D Pacitti,CA,Los Angeles,90046,7400 Hollywood Boulevard # 425,Not in Sample,,,Single Location,B2B,$100.000 to $499.999,7822,512120,Information
Associated Students CA State,Associations/Non-Profits,"Civic, Social, and Fraternal Associations",University Club,"Richard Haller, Executive",CA,Long Beach,90815,1212 North Bellflower Boulevard,Not in Sample,,"33.781764,-118.12227",Single Location,B2C,Unknown,8641,6113100,Educational Services
Laukenmann Chris B,Legal,Legal Services,Law Firms and Law Offices,Chris Laukenmann,CA,Los Angeles,90017,725 South Figueroa St,Not in Sample,pillsburylaw.com,"34.049068,-118.260182",Single Location,B2B,$100.000 to $499.999,8111,5411100,"Professional, Scientific, and Technical Services"
Pollak Vida & Fisher,Legal,Legal Services,Lawyers and Attorneys,"Michael Pollak, Partner",CA,Los Angeles,90064,11150 West Olympic Boulevard # 980,Not in Sample,pvandf.com,"34.03983,-118.438476",Single Location,BOTH,$2.500.000 to $4.999.999,8111,5411100,"Professional, Scientific, and Technical Services"
Bail Unit Bail Bonds,Insurance,Surety Insurance,Bail Bonds,"Eddie Guerrero, Manager",CA,Whittier,90606,7124 Lynalan Avenue,Not in Sample,bailunitbailbonds.com,"33.977782,-118.05642",Single Location,B2C,$2.500.000 to $4.999.999,6351,5241260,Finance and Insurance
Hot's Kitchen,Restaurants & Bars,Restaurants,American Restaurants,"Christina Parrott, Manager",CA,Hermosa Beach,90254,844 Hermosa Avenue,Not in Sample,hotskitchen.com,"33.859754,-118.39929",Single Location,B2C,$500.000 to $999.999,5812,3371100,Manufacturing
Bair's Keystone Body & Pntng,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,,CA,Santa Monica,90401,1314 7th St,Not in Sample,,"34.019359,-118.493155",Single Location,BOTH,Unknown,9999,9999900,Non Classified
American Gourmet Products,Restaurants & Bars,Confectionery,Snack Foods,"Tom Anderson, Owner",CA,Lakewood,90714,Po Box 1273,Not in Sample,americangourmetjerky.com,"33.85183,-118.13395",Single Location,B2C,$100.000 to $499.999,5145,4452991,Retail Trade
