Business Name,SIC2 Category,SIC4 Category,SIC8 Category,Contact Name,State Code,City,ZIP Code,Address,Phone,Web,Coordinates,Location Type,Market Variable,Annual Revenue,SIC,NAICS,Industry
"Kerneliservices Temporary Fencing in Lynwood, CA",Other Business Services,"Business Services, NEC",Business Services (Unclassified),Luis Watts,CA,Lynwood,90262,3351 Virginia St.,Not in Sample,kerneliservices.com/fence-rental/ca-fence-rental/temporary-fences-in-lynwood-ca/,"33.9207,-118.21112",Single Location,B2B,Unknown,,,
Lacaffita Inc,Restaurants & Bars,Restaurants,Coffee Shops,Guity Lami,CA,Redondo Beach,90277,420 North Pacific Coast Highway,Not in Sample,,"33.84837,-118.38814",Single Location,B2C,$100.000 to $499.999,5812,722513,Accommodation and Food Services
24 Hour 7 Day Emergency Locksmith,Consumer Services,"Repair Shops and Related Services, NEC",Locks and Locksmiths,,CA,Harbor City,90710,1222 Pacific Coast Highway,Not in Sample,,,Single Location,B2C,$0 to $49.999,7699,561622,Administrative and Support and Waste Management and Remediation Services
Ingrid Snack Shop,Restaurants & Bars,Restaurants,Snack Shops,Tianyu Han,CA,Los Angeles,90015,934 South Los Angeles St,Not in Sample,,"34.040108,-118.254726",Single Location,B2C,Unknown,5812,722513,Accommodation and Food Services
Manhattan Beach Badminton Club,Travel & Leisure,Physical Fitness Facilities,Gymnasiums,Bob Davis,CA,Manhattan Beach,90266,516 18th St,Not in Sample,mbbadmintonclub.com,"33.89029,-118.40901",Single Location,B2C,Unknown,7991,8134100,Other Services (except Public Administration)
Cesar Chavez Liquor,Beverages,Wine and Distilled Alcoholic Beverages,Wholesale Liquors,Hour Lim,CA,Los Angeles,90063,3563 East Cesar East Chavez Avenue,Not in Sample,,"34.040655,-118.187207",Single Location,B2B,$100.000 to $499.999,5182,424820,Wholesale Trade
Extremely Clean Inc.,Automotive Services,Carwashes,Car Detail and Car Clean Up Services,Kirk Carlson,CA,Redondo Beach,90277,553 N Pacific Coast Hwy 324,Not in Sample,extremelycleandetail.com/,"33.850956,-118.389283",Single Location,BOTH,Unknown,,,
Northgate Market,Shopping & Stores,Grocery Stores,Grocery Stores,"John Rivera, Director",CA,South Gate,90280,2633 Santa Ana St,Not in Sample,northgatemarkets.com,"33.96522,-118.22386",Branch,B2C,$20.000.000 to $49.9999.999,5411,4451100,Retail Trade
Cafe At the End-the Universe,Restaurants & Bars,Restaurants,Cafes,"Ray Enriquez, Manager",CA,Los Angeles,90027,2800 East Observatory Avenue,Not in Sample,griffithobs.org,"34.12341,-118.30221",Single Location,B2C,$500.000 to $999.999,5812,7225111,Accommodation and Food Services
Qual Chem Pacific,Other Business Services,"Business Services, NEC",Unclassified,"Jose Rodogez, Manager",CA,Long Beach,90807,3955 California Avenue,Not in Sample,qcpacific.com,"33.831173,-118.180797",Single Location,B2B,$100.000 to $499.999,7389,5419900,"Professional, Scientific, and Technical Services"
Breathe California-Los Angeles,Other Public Sector,"Social Services, NEC",Fund Raising Counselors and Organizations,"Enrique Chiock, President",CA,Los Angeles,90036,5858 Wilshire Boulevard # 300,Not in Sample,breathela.org,"34.062356,-118.35628",Single Location,BOTH,Unknown,8399,8133190,Other Services (except Public Administration)
Harvelles Blues Club,Restaurants & Bars,Restaurants,Restaurants,"Christopher Clark, Owner",CA,Santa Monica,90401,1432 4th St,Not in Sample,harvelles.com,"34.01566,-118.49435",Single Location,B2C,$500.000 to $999.999,5812,7224100,Accommodation and Food Services
Doggies Ade,Nonclassifiable establishments,Nonclassifiable establishments,Nonclassified Establishments,"Angela Ade, Manager",CA,Los Angeles,90066,3791 Redwood Avenue Apartment 7,Not in Sample,doggiesade.com,"33.997882,-118.44586",Single Location,BOTH,Unknown,9999,9999900,Non Classified
Ay -Do-No,Other Consumer Products & Services,Cutlery,"Table and Food Cutlery, Including Butchers'",George Adanalyan,CA,Los Angeles,90028,5911 Hollywood Boulevard,Not in Sample,,"34.101807,-118.318215",Single Location,B2C,$50.000 to $99.999,3421,332215,Manufacturing
Mc Guire Woods Llp,Legal,Legal Services,Lawyers and Attorneys,"Davi Van Etten, Chief Executive Officer",CA,Los Angeles,90067,1800 Century Park East # 800,Not in Sample,mcguirewoods.com,"34.062831,-118.415835",Branch,BOTH,$20.000.000 to $49.9999.999,8111,5411100,"Professional, Scientific, and Technical Services"
Daily Donut House,Food,"Bread and Other Bakery Products, Except Cookies and Crackers",Doughnuts Manufacturers,"Kimse No, Owner",CA,Los Angeles,90018,1905 South Western Avenue # 20,Not in Sample,,"34.03978,-118.30904",Single Location,B2B,$100.000 to $499.999,2051,7225151,Accommodation and Food Services
Bailey & Partners,Legal,Legal Services,Lawyers and Attorneys,Patrick E. Bailey,CA,Santa Monica,90405,"2800 28th Street ,Suite -200<br/>Santa Monica, CA",Not in Sample,baileypartners.com/,"34.017914,-118.455322",Single Location,BOTH,Unknown,,,
Apparel Services International Inc,Shopping & Stores,Women's Clothing Stores,Women's Clothing Stores,Asher Peretz,CA,Los Angeles,90046,7576 Melrose Avenue,Not in Sample,,,Single Location,B2C,$100.000 to $499.999,5621,448120,Retail Trade
Wishible Professional Inc,Other Business Services,"Business Services, NEC",Unclassified,William Z Yan,CA,Cerritos,90703,19417 Stefani Avenue,Not in Sample,,"33.854208,-118.065665",Single Location,B2B,$100.000 to $499.999,7389,561990,Administrative and Support and Waste Management and Remediation Services
Hub International Ins Svc-CA,Insurance,"Insurance Agents, Brokers, and Service",Insurance Companies,,CA,Santa Monica,90405,2850 Ocean Park Boulevard # 200,Not in Sample,hubinternational.com,"34.018889,-118.455508",Branch,BOTH,$10.000.000 to $19.9999.999,6411,5242100,Finance and Insurance
B C Dance Productions Inc,Travel & Leisure,"Dance Studios, Schools, and Halls","Dance Studios, Schools, and Halls",Benny Corpos,CA,Los Angeles,90049,600 North Kenter Avenue,Not in Sample,,"34.069971,-118.48813",Single Location,B2C,$50.000 to $99.999,7911,611610,Educational Services
